sample,fastq1,fastq2
105603_P008_WB01_25925147_Calopterygidae_Mnais_andersoni,fastq/RAPiD-Genomics_F373_BYU_105603_P008_WB01_i5-1100_i7-31_S13943_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P008_WB01_i5-1100_i7-31_S13943_L002_R2_001.fastq.gz
105603_P008_WE01_25925157_Platycnemididae_Calicnemia_erythromelas,fastq/RAPiD-Genomics_F373_BYU_105603_P008_WE01_i5-1100_i7-48_S13531_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P008_WE01_i5-1100_i7-48_S13531_L002_R2_001.fastq.gz
105603_P004_WD08_25925418_Platycnemididae_Risiocnemis_praeusta,fastq/RAPiD-Genomics_F373_BYU_105603_P004_WD08_i5-1096_i7-80_S13782_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P004_WD08_i5-1096_i7-80_S13782_L002_R2_001.fastq.gz
105603_P004_WH08_25925483_Argiolestidae_Metagrion_aurantiacum,fastq/RAPiD-Genomics_F373_BYU_105603_P004_WH08_i5-1096_i7-85_S13734_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P004_WH08_i5-1096_i7-85_S13734_L002_R2_001.fastq.gz
105603_P004_WD06_25925508_Devadattidae_Devadatta_cyanocephala,fastq/RAPiD-Genomics_F373_BYU_105603_P004_WD06_i5-1096_i7-50_S13780_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P004_WD06_i5-1096_i7-50_S13780_L002_R2_001.fastq.gz
105603_P004_WH06_25925540_Argiolestidae_Neurolestes_nigeriensis,fastq/RAPiD-Genomics_F373_BYU_105603_P004_WH06_i5-1096_i7-49_S13732_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P004_WH06_i5-1096_i7-49_S13732_L002_R2_001.fastq.gz
105603_P004_WD07_25925549_Platycnemididae_Indocnemis_ambigua,fastq/RAPiD-Genomics_F373_BYU_105603_P004_WD07_i5-1096_i7-86_S13781_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P004_WD07_i5-1096_i7-86_S13781_L002_R2_001.fastq.gz
105603_P011_WD08_4002184661_Calopterygidae_Umma_declivium,fastq/RAPiD-Genomics_F373_BYU_105603_P011_WD08_i5-1103_i7-80_S14246_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P011_WD08_i5-1103_i7-80_S14246_L002_R2_001.fastq.gz
105603_P015_WH08_4003826923_Coenagrionidae_Aciagrion_steeleae,fastq/RAPiD-Genomics_F375_BYU_105603_P015_WH08_i5-1097_i7-85_S12436_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F375_BYU_105603_P015_WH08_i5-1097_i7-85_S12436_L002_R2_001.fastq.gz
105603_P015_WA01_4003831544_Lestidae_Lestes_elatus,fastq/RAPiD-Genomics_F375_BYU_105603_P015_WA01_i5-1097_i7-59_S12345_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F375_BYU_105603_P015_WA01_i5-1097_i7-59_S12345_L002_R2_001.fastq.gz
105603_P016_WA05_4007598701_Macromiidae_Macromia_tillyardi,fastq/RAPiD-Genomics_F375_BYU_105603_P016_WA05_i5-1098_i7-38_S12445_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F375_BYU_105603_P016_WA05_i5-1098_i7-38_S12445_L002_R2_001.fastq.gz
105603_P004_WD04_25925718_Coenagrionidae_Pseudagrion_pruinosum,fastq/RAPiD-Genomics_F373_BYU_105603_P004_WD04_i5-1096_i7-91_S13778_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P004_WD04_i5-1096_i7-91_S13778_L002_R2_001.fastq.gz
105603_P017_WD08_4010129061_Corduliidae_Hemicordulia_olympica,fastq/RAPiD-Genomics_F375_BYU_105603_P017_WD08_i5-1099_i7-80_S12580_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F375_BYU_105603_P017_WD08_i5-1099_i7-80_S12580_L002_R2_001.fastq.gz
105603_P005_WA06_GEODE8080_Coenagrionidae_Telebasis_sanguinalis,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WA06_i5-1097_i7-74_S13712_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WA06_i5-1097_i7-74_S13712_L002_R2_001.fastq.gz
105603_P005_WA07_GEODE8081_Coenagrionidae_Telebasis_selaopyge,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WA07_i5-1097_i7-77_S13713_L002_R1_001.fastq.gz,fastq/RAPiD-Genomics_F373_BYU_105603_P005_WA07_i5-1097_i7-77_S13713_L002_R2_001.fastq.gz
